video_id,language,subtopic,timecode,section,line
colAdd-en,en,Adding in columns,0:43,"step 3 — 4+8=12, 2+1=3 → 4 293",Carry on left. The answer is 4 293. Check it roughly: 2500 and 1800 is about 4300. It is.
colAdd-en,en,Adding in columns,0:53,close,That is the whole method. Try one yourself.
colAdd-fr,fr,Additionner en colonnes,0:00,the situation,Deux étals ont compté leur recette : 2 456 et 1 837.
colAdd-fr,fr,Additionner en colonnes,0:07,why it matters,Trop grand pour la tête. Aligne-les pour que les unités soient sous les unités.
colAdd-fr,fr,Additionner en colonnes,0:14,into the method,Voici comment faire.
colAdd-fr,fr,Additionner en colonnes,0:17,"step 1 — 6 + 7 = 13, write 3 carry 1","Commence à droite. 13 est trop grand pour une colonne. Un seul chiffre tient par colonne. La dizaine va à côté, où vivent les dizaines."
colAdd-fr,fr,Additionner en colonnes,0:29,step 2 — 5 + 3 + 1 = 9,"Puis les dizaines, sans oublier la retenue. La retenue est une vraie dizaine. L'oublier fait perdre dix."
colAdd-fr,fr,Additionner en colonnes,0:38,"step 3 — 4+8=12, 2+1=3 → 4 293",Continue vers la gauche. La réponse est 4 293. Vérifie à peu près : 2500 et 1800 font environ 4300. C'est le cas.
colAdd-fr,fr,Additionner en colonnes,0:49,close,Voilà toute la méthode. Essaie-en une.
colSub-en,en,Taking away in columns,0:00,the situation,A library had 5 042 books. 1 968 were borrowed.
colSub-en,en,Taking away in columns,0:06,why it matters,2 take away 8 does not work. You have to fetch ten from next door.
colSub-en,en,Taking away in columns,0:14,into the method,Here is how to do it.
colSub-en,en,Taking away in columns,0:17,step 1 — 2 − 8? borrow → 12 − 8 = 4,"The ones column is too small, so take ten from the tens. Borrowing does not change the number, it changes how it is written."
colSub-en,en,Taking away in columns,0:29,"step 2 — tens were 4, now 3: 3 − 6? borrow again","The tens are short too, so borrow from the hundreds — which are zero, so keep going left. A zero cannot lend. You have to reach past it to the first column that can."
colSub-en,en,Taking away in columns,0:46,step 3 — 5 042 − 1 968 = 3 074,Finish the columns. 3 074 books left. Check by adding back: 3 074 + 1 968 should be 5 042.
colSub-en,en,Taking away in columns,0:56,close,That is the whole method. Try one yourself.
colSub-fr,fr,Soustraire en colonnes,0:00,the situation,Une bibliothèque avait 5 042 livres. 1 968 ont été empruntés.
colSub-fr,fr,Soustraire en colonnes,0:06,why it matters,2 moins 8 ne marche pas. Il faut aller chercher dix à côté.
colSub-fr,fr,Soustraire en colonnes,0:13,into the method,Voici comment faire.
colSub-fr,fr,Soustraire en colonnes,0:16,step 1 — 2 − 8? borrow → 12 − 8 = 4,"La colonne des unités est trop petite, prends dix aux dizaines. Emprunter ne change pas le nombre, seulement la façon de l'écrire."
colSub-fr,fr,Soustraire en colonnes,0:27,"step 2 — tens were 4, now 3: 3 − 6? borrow again","Les dizaines manquent aussi : emprunte aux centaines — qui valent zéro, donc continue à gauche. Un zéro ne peut rien prêter. Il faut aller au-delà, jusqu'à la première colonne qui peut."
colSub-fr,fr,Soustraire en colonnes,0:42,step 3 — 5 042 − 1 968 = 3 074,Termine les colonnes. Il reste 3 074 livres. Vérifie en additionnant : 3 074 + 1 968 doit faire 5 042.
colSub-fr,fr,Soustraire en colonnes,0:53,close,Voilà toute la méthode. Essaie-en une.
decAdd-en,en,Adding decimals,0:00,the situation,A drink at £1.45 and a sandwich at £2.30.
decAdd-en,en,Adding decimals,0:05,why it matters,"Line up the points, not the ends. That is the whole rule."
decAdd-en,en,Adding decimals,0:12,into the method,Here is how to do it.
decAdd-en,en,Adding decimals,0:16,step 1 — point under point,Write them with the decimal points in a vertical line. The point is where the whole numbers stop. Line that up and every column is right.
decAdd-en,en,Adding decimals,0:28,step 2 — fill gaps with zeros,"If one has fewer digits, put zeros in the empty places. 3.5 is 3.50. The zero changes nothing except making the columns match."
decAdd-en,en,Adding decimals,0:40,step 3 — = 3.75,"Add as normal, and keep the point in line. The point in the answer sits directly under the others. Never move it."
decAdd-en,en,Adding decimals,0:51,close,That is the whole method. Try one yourself.
decAdd-fr,fr,Additionner des décimaux,0:00,the situation,"Une boisson à 1,45 £ et un sandwich à 2,30 £."
decAdd-fr,fr,Additionner des décimaux,0:06,why it matters,"Aligne les virgules, pas les extrémités. C'est toute la règle."
decAdd-fr,fr,Additionner des décimaux,0:12,into the method,Voici comment faire.
decAdd-fr,fr,Additionner des décimaux,0:15,step 1 — point under point,Écris-les avec les virgules l'une sous l'autre. La virgule marque la fin des entiers. Aligne-la et toutes les colonnes sont bonnes.
decAdd-fr,fr,Additionner des décimaux,0:25,step 2 — fill gaps with zeros,"Si l'un a moins de chiffres, mets des zéros dans les places vides. 3,5 vaut 3,50. Le zéro ne change rien, sauf que les colonnes correspondent."
decAdd-fr,fr,Additionner des décimaux,0:38,step 3 — = 3.75,"Additionne normalement, et garde la virgule alignée. La virgule du résultat est juste sous les autres. Ne la déplace jamais."
decAdd-fr,fr,Additionner des décimaux,0:48,close,Voilà toute la méthode. Essaie-en une.
decMul-en,en,Multiplying decimals,0:00,the situation,Petrol is £1.40 a litre. You buy 6 litres.
decMul-en,en,Multiplying decimals,0:05,why it matters,Cover the point. Do 14 × 6. Then put the point back where it belongs.
decMul-en,en,Multiplying decimals,0:13,into the method,Here is how to do it.
decMul-en,en,Multiplying decimals,0:17,step 1 — ignore the point: 14 × 6 = 84,Pretend it is a whole number for a moment. Whole-number multiplication is something you can already do. Use it.
decMul-en,en,Multiplying decimals,0:27,"step 2 — one decimal place in, one out","1.4 had one digit after the point, so the answer has one. Count the places you started with. That is exactly how many you end with."
decMul-en,en,Multiplying decimals,0:39,step 3 — = 8.4,"£8.40 of petrol. Check roughly: 1.4 is nearly 1.5, and 1.5 × 6 = 9. Close enough to trust."
decMul-en,en,Multiplying decimals,0:49,close,That is the whole method. Try one yourself.
decMul-fr,fr,Multiplier des décimaux,0:00,the situation,"L'essence coûte 1,40 £ le litre. Tu en prends 6 litres."
decMul-fr,fr,Multiplier des décimaux,0:06,why it matters,Cache la virgule. Fais 14 × 6. Puis remets la virgule à sa place.
decMul-fr,fr,Multiplier des décimaux,0:14,into the method,Voici comment faire.
decMul-fr,fr,Multiplier des décimaux,0:17,step 1 — ignore the point: 14 × 6 = 84,"Fais comme si c'était un entier un instant. La multiplication d'entiers, tu sais déjà faire. Sers-t'en."
decMul-fr,fr,Multiplier des décimaux,0:25,"step 2 — one decimal place in, one out","1,4 avait un chiffre après la virgule, donc la réponse aussi. Compte les décimales de départ. C'est exactement le nombre d'arrivée."
decMul-fr,fr,Multiplier des décimaux,0:35,step 3 — = 8.4,"8,40 £ d'essence. Vérifie : 1,4 est presque 1,5, et 1,5 × 6 = 9. Assez proche pour y croire."
decMul-fr,fr,Multiplier des décimaux,0:45,close,Voilà toute la méthode. Essaie-en une.
divRem-en,en,What is left over,0:00,the situation,29 children need taxis. Each taxi takes 4.
divRem-en,en,What is left over,0:05,why it matters,7 taxis carry 28. One child is still standing on the pavement.
divRem-en,en,What is left over,0:11,into the method,Here is how to do it.
divRem-en,en,What is left over,0:15,step 1 — 4 × 7 = 28,How many whole 4s fit into 29? Seven. Whole ones only. You cannot send seven and a bit of a taxi.
divRem-en,en,What is left over,0:26,step 2 — 29 − 28 = 1,"One is left over. The remainder must be smaller than 4. If it were 4, another taxi would go."
divRem-en,en,What is left over,0:35,step 3 — 29 ÷ 4 = 7 r 1,Seven remainder one — but in real life you order 8 taxis. The maths and the answer are not always the same thing. Read the question.
divRem-en,en,What is left over,0:48,the trap,One last thing — the mistake to watch for. Careful: the remainder must be smaller than what you divided by.
divRem-en,en,What is left over,0:58,close,That is the whole method. Try one yourself.
divRem-fr,fr,Ce qui reste,0:00,the situation,29 enfants ont besoin de taxis. Chaque taxi prend 4.
divRem-fr,fr,Ce qui reste,0:06,why it matters,7 taxis emmènent 28. Un enfant reste sur le trottoir.
divRem-fr,fr,Ce qui reste,0:11,into the method,Voici comment faire.
divRem-fr,fr,Ce qui reste,0:14,step 1 — 4 × 7 = 28,Combien de 4 entiers dans 29 ? Sept. Des entiers seulement. On n'envoie pas sept taxis et un morceau.
divRem-fr,fr,Ce qui reste,0:24,step 2 — 29 − 28 = 1,"Il en reste un. Le reste doit être plus petit que 4. S'il valait 4, un autre taxi partirait."
divRem-fr,fr,Ce qui reste,0:34,step 3 — 29 ÷ 4 = 7 r 1,"Sept reste un — mais en vrai, on commande 8 taxis. Le calcul et la réponse ne sont pas toujours la même chose. Lis la question."
divRem-fr,fr,Ce qui reste,0:46,the trap,Une dernière chose — l'erreur à éviter. Attention : le reste doit être plus petit que le diviseur.
divRem-fr,fr,Ce qui reste,0:56,close,Voilà toute la méthode. Essaie-en une.
factors-en,en,Factors,0:00,the situation,24 tiles. Can you lay them in a perfect rectangle?
factors-en,en,Factors,0:06,why it matters,"1×24, 2×12, 3×8, 4×6. Every rectangle you can make gives you two factors."
factors-en,en,Factors,0:13,into the method,Here is how to do it.
factors-en,en,Factors,0:16,step 1 — 1 × 24,Start at 1. Every number has 1 and itself. Working in pairs means you never miss one and never repeat one.
factors-en,en,Factors,0:27,"step 2 — 2 × 12,  3 × 8,  4 × 6","Try 2, then 3, then 4. Each that works gives a pair. Stop when the pair crosses over. After 4×6 comes 6×4, which you already have."
factors-en,en,Factors,0:40,step 3 — 1 2 3 4 6 8 12 24,Eight factors. 5 is missing because 24 tiles will not make a rectangle five wide.
factors-en,en,Factors,0:48,close,That is the whole method. Try one yourself.
factors-fr,fr,Diviseurs,0:00,the situation,24 carreaux. Peux-tu les poser en rectangle parfait ?
factors-fr,fr,Diviseurs,0:05,why it matters,"1×24, 2×12, 3×8, 4×6. Chaque rectangle possible donne deux diviseurs."
factors-fr,fr,Diviseurs,0:11,into the method,Voici comment faire.
factors-fr,fr,Diviseurs,0:14,step 1 — 1 × 24,Commence à 1. Tout nombre a 1 et lui-même. Travailler par paires évite d'en oublier ou d'en répéter.
factors-fr,fr,Diviseurs,0:23,"step 2 — 2 × 12,  3 × 8,  4 × 6","Essaie 2, puis 3, puis 4. Chaque réussite donne une paire. Arrête quand la paire se croise. Après 4×6 vient 6×4, que tu as déjà."
factors-fr,fr,Diviseurs,0:35,step 3 — 1 2 3 4 6 8 12 24,Huit diviseurs. 5 manque parce que 24 carreaux ne font pas un rectangle de cinq de large.
factors-fr,fr,Diviseurs,0:44,close,Voilà toute la méthode. Essaie-en une.
fdp-en,en,The same thing three ways,0:00,the situation,A shirt is half price. Another is 50% off. Another is 0.5 of the price.
fdp-en,en,The same thing three ways,0:08,why it matters,All three shops are saying exactly the same thing in three different costumes.
fdp-en,en,The same thing three ways,0:15,into the method,Here is how to do it.
fdp-en,en,The same thing three ways,0:19,step 1 — 1/2 → 0.5,Divide the top by the bottom: 1 ÷ 2 = 0.5. A fraction is a division waiting to happen. That is all the line means.
fdp-en,en,The same thing three ways,0:31,step 2 — 0.5 → 50%,"Multiply by 100. Per cent means out of a hundred. Decimal to percentage is always × 100. Two steps left, then a % sign."
fdp-en,en,The same thing three ways,0:43,step 3 — learn the common ones,"1/4, 1/5, 3/4, 1/10 — know these without thinking. There are about eight worth memorising. They come up in every paper."
fdp-en,en,The same thing three ways,0:53,close,That is the whole method. Try one yourself.
fdp-fr,fr,La même chose de trois façons,0:00,the situation,"Un maillot est à moitié prix. Un autre à −50 %. Un autre à 0,5 du prix."
fdp-fr,fr,La même chose de trois façons,0:09,why it matters,Les trois magasins disent exactement la même chose sous trois costumes.
fdp-fr,fr,La même chose de trois façons,0:15,into the method,Voici comment faire.
fdp-fr,fr,La même chose de trois façons,0:18,step 1 — 1/2 → 0.5,"Divise le haut par le bas : 1 ÷ 2 = 0,5. Une fraction est une division qui attend. La barre ne veut dire que ça."
fdp-fr,fr,La même chose de trois façons,0:31,step 2 — 0.5 → 50%,"Multiplie par 100. Pour cent veut dire sur cent. Décimal vers pourcentage, c'est toujours × 100. Deux pas à gauche, puis %."
fdp-fr,fr,La même chose de trois façons,0:42,step 3 — learn the common ones,"1/4, 1/5, 3/4, 1/10 — à connaître sans réfléchir. Il y en a environ huit à mémoriser. Elles reviennent à chaque test."
fdp-fr,fr,La même chose de trois façons,0:53,close,Voilà toute la méthode. Essaie-en une.
formula-en,en,Simple formulae,0:00,the situation,"A recipe: cook a chicken for 40 minutes per kilogram, plus 20 minutes."
formula-en,en,Simple formulae,0:07,why it matters,In maths that is written t = 40w + 20. The letter is just a box waiting for a number.
formula-en,en,Simple formulae,0:17,into the method,Here is how to do it.
formula-en,en,Simple formulae,0:21,step 1 — put 4 where x is,"Swap the letter for the number you were given. 3x means 3 times x. The multiplication sign is hidden, not missing."
formula-en,en,Simple formulae,0:31,step 2 — 3 × 4 = 12,"Multiply first, because × comes before +. The order of operations still applies. It always applies."
formula-en,en,Simple formulae,0:40,step 3 — 12 + 5 = 17,So y is 17. Algebra is arithmetic with a gap in it. Fill the gap and it is ordinary sums.
formula-en,en,Simple formulae,0:50,close,That is the whole method. Try one yourself.
formula-fr,fr,Formules simples,0:00,the situation,"Une recette : 40 minutes par kilo, plus 20 minutes."
formula-fr,fr,Formules simples,0:06,why it matters,En maths on écrit t = 40p + 20. La lettre est une case qui attend un nombre.
formula-fr,fr,Formules simples,0:15,into the method,Voici comment faire.
formula-fr,fr,Formules simples,0:18,step 1 — put 4 where x is,"Remplace la lettre par le nombre donné. 3x veut dire 3 fois x. Le signe est caché, pas absent."
formula-fr,fr,Formules simples,0:27,step 2 — 3 × 4 = 12,"Multiplie d'abord, car × passe avant +. L'ordre des opérations s'applique toujours."
formula-fr,fr,Formules simples,0:34,step 3 — 12 + 5 = 17,"Donc y vaut 17. L'algèbre, c'est du calcul avec un trou. Bouche le trou et ce sont des sommes ordinaires."
formula-fr,fr,Formules simples,0:44,close,Voilà toute la méthode. Essaie-en une.
frAddDiff-en,en,Different bottoms,0:00,the situation,"Two loaves of bread, the same size. Amina cuts hers into 2 and takes 1 piece. Musa cuts his into 8 and takes 1."
frAddDiff-en,en,Different bottoms,0:12,why it matters,Amina has 1/2 and Musa has 1/8. Put them together and you cannot say “2 pieces” — the pieces are different sizes.
frAddDiff-en,en,Different bottoms,0:23,into the method,Here is how to do it.
frAddDiff-en,en,Different bottoms,0:27,step 1 — 2 × 4 = 8,"8 is a number 2 goes into. So make both bottoms 8. You are not changing the amount, only the size of the pieces you are counting in."
frAddDiff-en,en,Different bottoms,0:40,step 2 — 1/2 = 4/8,"Multiply top and bottom by 4. Half a loaf is four eighths. Top and bottom by the SAME number, or you have changed how much bread there is."
frAddDiff-en,en,Different bottoms,0:54,step 3 — 4/8 + 1/8 = 5/8,"Now add the tops. Five eighths. The bottom stays 8 — you are counting eighths, and adding does not change what you are counting in."
frAddDiff-en,en,Different bottoms,1:06,the trap,One last thing — the mistake to watch for. Careful: never add the bottom numbers.
frAddDiff-en,en,Different bottoms,1:14,close,That is the whole method. Try one yourself.
frAddDiff-fr,fr,Dénominateurs différents,0:00,the situation,Deux pains de même taille. Amina coupe le sien en 2 et prend 1 part. Musa coupe le sien en 8 et en prend 1.
frAddDiff-fr,fr,Dénominateurs différents,0:12,why it matters,"Amina a 1/2 et Musa a 1/8. Ensemble, on ne peut pas dire « 2 parts » — les parts n'ont pas la même taille."
frAddDiff-fr,fr,Dénominateurs différents,0:25,into the method,Voici comment faire.
frAddDiff-fr,fr,Dénominateurs différents,0:28,step 1 — 2 × 4 = 8,"8 est un nombre où 2 entre. Rends donc les deux dénominateurs égaux à 8. Tu ne changes pas la quantité, seulement la taille des parts que tu comptes."
frAddDiff-fr,fr,Dénominateurs différents,0:42,step 2 — 1/2 = 4/8,"Multiplie le haut et le bas par 4. Un demi-pain fait quatre huitièmes. Haut et bas par le MÊME nombre, sinon tu as changé la quantité de pain."
frAddDiff-fr,fr,Dénominateurs différents,0:55,step 3 — 4/8 + 1/8 = 5/8,"Additionne les numérateurs. Cinq huitièmes. Le dénominateur reste 8 — tu comptes des huitièmes, et additionner ne change pas l'unité."
frAddDiff-fr,fr,Dénominateurs différents,1:05,the trap,Une dernière chose — l'erreur à éviter. Attention : n'additionne jamais les dénominateurs.
frAddDiff-fr,fr,Dénominateurs différents,1:12,close,Voilà toute la méthode. Essaie-en une.
frAddSame-en,en,Same bottom number,0:00,the situation,"A pizza cut into 8. You eat 3 slices, your brother eats 2."
frAddSame-en,en,Same bottom number,0:07,why it matters,3 slices and 2 slices is 5 slices. The slices did not change size.
frAddSame-en,en,Same bottom number,0:14,into the method,Here is how to do it.
frAddSame-en,en,Same bottom number,0:18,step 1 — 3 + 2 = 5,Add the top numbers. The top counts how many slices. That is the only thing changing.
frAddSame-en,en,Same bottom number,0:27,step 2 — bottom stays 8,"The bottom says what size the slices are. It does not change. 8 + 8 = 16 would mean the slices got smaller, and nobody cut anything."
frAddSame-en,en,Same bottom number,0:40,step 3 — = 5/8,Five eighths of the pizza is gone. Adding bottoms is the commonest fraction mistake there is. Never do it.
frAddSame-en,en,Same bottom number,0:49,the trap,One last thing — the mistake to watch for. Careful: the bottom number never changes.
frAddSame-en,en,Same bottom number,0:57,close,That is the whole method. Try one yourself.
frAddSame-fr,fr,Même dénominateur,0:00,the situation,"Une pizza coupée en 8. Tu manges 3 parts, ton frère 2."
frAddSame-fr,fr,Même dénominateur,0:07,why it matters,3 parts et 2 parts font 5 parts. Les parts n'ont pas changé de taille.
frAddSame-fr,fr,Même dénominateur,0:14,into the method,Voici comment faire.
frAddSame-fr,fr,Même dénominateur,0:17,step 1 — 3 + 2 = 5,Additionne les numérateurs. Le haut compte les parts. C'est la seule chose qui change.
frAddSame-fr,fr,Même dénominateur,0:25,step 2 — bottom stays 8,"Le bas dit la taille des parts. Il ne change pas. 8 + 8 = 16 voudrait dire des parts plus petites, or personne n'a recoupé."
frAddSame-fr,fr,Même dénominateur,0:38,step 3 — = 5/8,Cinq huitièmes de la pizza sont partis. Additionner les dénominateurs est l'erreur de fraction la plus courante. Jamais.
frAddSame-fr,fr,Même dénominateur,0:47,the trap,Une dernière chose — l'erreur à éviter. Attention : le dénominateur ne change jamais.
frAddSame-fr,fr,Même dénominateur,0:54,close,Voilà toute la méthode. Essaie-en une.
frDivWhole-en,en,Dividing by a whole number,0:00,the situation,"A third of a pie, shared between two people."
frDivWhole-en,en,Dividing by a whole number,0:05,why it matters,Each gets half of a third. Cut every third in two and you have sixths.
frDivWhole-en,en,Dividing by a whole number,0:13,into the method,Here is how to do it.
frDivWhole-en,en,Dividing by a whole number,0:17,step 1 — each piece halves,"Sharing between 2 makes every piece half the size. You are not making fewer pieces, you are making smaller ones."
frDivWhole-en,en,Dividing by a whole number,0:27,step 2 — 3 × 2 = 6,"Twice as many pieces in the whole pie, so the bottom doubles. Dividing by 2 makes the bottom bigger. That feels backwards until you see the pie."
frDivWhole-en,en,Dividing by a whole number,0:40,step 3 — = 1/6,One sixth each. Check: two sixths make a third. It works.
frDivWhole-en,en,Dividing by a whole number,0:46,close,That is the whole method. Try one yourself.
frDivWhole-fr,fr,Diviser par un entier,0:00,the situation,"Un tiers de tarte, partagé entre deux personnes."
frDivWhole-fr,fr,Diviser par un entier,0:05,why it matters,Chacun a la moitié d'un tiers. Coupe chaque tiers en deux : des sixièmes.
frDivWhole-fr,fr,Diviser par un entier,0:12,into the method,Voici comment faire.
frDivWhole-fr,fr,Diviser par un entier,0:15,step 1 — each piece halves,"Partager en 2 rend chaque part deux fois plus petite. Tu ne fais pas moins de parts, tu en fais de plus petites."
frDivWhole-fr,fr,Diviser par un entier,0:27,step 2 — 3 × 2 = 6,"Deux fois plus de parts dans la tarte, donc le dénominateur double. Diviser par 2 agrandit le dénominateur. C'est déroutant jusqu'à ce qu'on voie la tarte."
frDivWhole-fr,fr,Diviser par un entier,0:39,step 3 — = 1/6,Un sixième chacun. Vérifie : deux sixièmes font un tiers. Ça marche.
frDivWhole-fr,fr,Diviser par un entier,0:46,close,Voilà toute la méthode. Essaie-en une.
frMul-en,en,Multiplying fractions,0:00,the situation,Half a chocolate bar. You give a third of that half away.
frMul-en,en,Multiplying fractions,0:07,why it matters,"A third of a half is a sixth. “Of” means multiply, and the answer gets smaller."
frMul-en,en,Multiplying fractions,0:15,into the method,Here is how to do it.
frMul-en,en,Multiplying fractions,0:19,step 1 — tops: 1 × 1 = 1,Multiply the top numbers together. No common bottom needed. This is the easiest of the four and it looks the hardest.
frMul-en,en,Multiplying fractions,0:29,step 2 — bottoms: 3 × 2 = 6,"Multiply the bottom numbers together. The pieces get smaller, so the bottom number gets bigger. That is the sense of it."
frMul-en,en,Multiplying fractions,0:40,step 3 — = 1/6,One sixth of the bar. Multiplying two fractions always makes something smaller than both. That is your check.
frMul-en,en,Multiplying fractions,0:49,close,That is the whole method. Try one yourself.
frMul-fr,fr,Multiplier des fractions,0:00,the situation,La moitié d'une tablette. Tu en donnes le tiers.
frMul-fr,fr,Multiplier des fractions,0:05,why it matters,"Un tiers d'une moitié fait un sixième. « De » veut dire multiplier, et le résultat rétrécit."
frMul-fr,fr,Multiplier des fractions,0:14,into the method,Voici comment faire.
frMul-fr,fr,Multiplier des fractions,0:17,step 1 — tops: 1 × 1 = 1,"Multiplie les numérateurs. Pas besoin de dénominateur commun. La plus facile des quatre, et elle a l'air difficile."
frMul-fr,fr,Multiplier des fractions,0:26,step 2 — bottoms: 3 × 2 = 6,"Multiplie les dénominateurs. Les parts rétrécissent, donc le dénominateur grandit. C'est logique."
frMul-fr,fr,Multiplier des fractions,0:33,step 3 — = 1/6,Un sixième de la tablette. Multiplier deux fractions donne toujours plus petit que les deux. C'est ta vérification.
frMul-fr,fr,Multiplier des fractions,0:42,close,Voilà toute la méthode. Essaie-en une.
frOfAmount-en,en,A fraction of an amount,0:00,the situation,£60 in your pocket. You spend three quarters of it.
